LAUS Code,State FIPS Code,County FIPS Code,County Name/State Abbreviation,Year,Labor Force,Employed,Unemployed,Unemployment Rate 
CN1906900000000,19,69,"Franklin County, IA",2014,"5,997","5,758",239,4
CN1907100000000,19,71,"Fremont County, IA",2014,"4,183","4,020",163,3.9
CN1907300000000,19,73,"Greene County, IA",2014,"5,291","5,076",215,4.1
CN1907500000000,19,75,"Grundy County, IA",2014,"6,746","6,463",283,4.2
CN1907700000000,19,77,"Guthrie County, IA",2014,"5,630","5,382",248,4.4
CN1907900000000,19,79,"Hamilton County, IA",2014,"7,122","6,797",325,4.6
CN1908100000000,19,81,"Hancock County, IA",2014,"6,318","6,108",210,3.3
CN1908300000000,19,83,"Hardin County, IA",2014,"8,737","8,357",380,4.3
CN1908500000000,19,85,"Harrison County, IA",2014,"7,562","7,257",305,4
CN1908700000000,19,87,"Henry County, IA",2014,"9,577","9,153",424,4.4
CN1908900000000,19,89,"Howard County, IA",2014,"5,333","5,116",217,4.1
CN1909100000000,19,91,"Humboldt County, IA",2014,"5,277","5,076",201,3.8
CN1909300000000,19,93,"Ida County, IA",2014,"3,903","3,762",141,3.6
CN1909500000000,19,95,"Iowa County, IA",2014,"10,241","9,810",431,4.2
CN1909700000000,19,97,"Jackson County, IA",2014,"11,056","10,493",563,5.1
CN1909900000000,19,99,"Jasper County, IA",2014,"19,394","18,530",864,4.5
CN1910100000000,19,101,"Jefferson County, IA",2014,"9,111","8,711",400,4.4
CN1910300000000,19,103,"Johnson County, IA",2014,"84,304","81,687","2,617",3.1
CN1910500000000,19,105,"Jones County, IA",2014,"10,830","10,293",537,5
CN1910700000000,19,107,"Keokuk County, IA",2014,"5,535","5,288",247,4.5
CN1910900000000,19,109,"Kossuth County, IA",2014,"8,691","8,410",281,3.2
CN1911100000000,19,111,"Lee County, IA",2014,"17,795","16,740","1,055",5.9
CN1911300000000,19,113,"Linn County, IA",2014,"121,412","116,047","5,365",4.4
CN1911500000000,19,115,"Louisa County, IA",2014,"5,954","5,684",270,4.5
CN1911700000000,19,117,"Lucas County, IA",2014,"4,325","4,155",170,3.9
CN1911900000000,19,119,"Lyon County, IA",2014,"7,035","6,855",180,2.6
CN1912100000000,19,121,"Madison County, IA",2014,"8,259","7,882",377,4.6
CN1912300000000,19,123,"Mahaska County, IA",2014,"11,900","11,374",526,4.4
CN1912500000000,19,125,"Marion County, IA",2014,"17,495","16,824",671,3.8
CN1912700000000,19,127,"Marshall County, IA",2014,"19,902","18,822","1,080",5.4
CN1912900000000,19,129,"Mills County, IA",2014,"7,423","7,096",327,4.4
CN1913100000000,19,131,"Mitchell County, IA",2014,"5,478","5,282",196,3.6
CN1913300000000,19,133,"Monona County, IA",2014,"4,772","4,533",239,5
CN1913500000000,19,135,"Monroe County, IA",2014,"4,088","3,881",207,5.1
CN1913700000000,19,137,"Montgomery County, IA",2014,"5,180","4,965",215,4.2
CN1913900000000,19,139,"Muscatine County, IA",2014,"22,191","21,178","1,013",4.6
CN1914100000000,19,141,"O'Brien County, IA",2014,"8,263","7,992",271,3.3
CN1914300000000,19,143,"Osceola County, IA",2014,"3,471","3,355",116,3.3
CN1914500000000,19,145,"Page County, IA",2014,"6,620","6,324",296,4.5
CN1914700000000,19,147,"Palo Alto County, IA",2014,"4,869","4,692",177,3.6
CN1914900000000,19,149,"Plymouth County, IA",2014,"14,713","14,205",508,3.5
CN1915100000000,19,151,"Pocahontas County, IA",2014,"4,341","4,189",152,3.5
CN1915300000000,19,153,"Polk County, IA",2014,"256,517","245,593","10,924",4.3
CN1915500000000,19,155,"Pottawattamie County, IA",2014,"49,356","47,224","2,132",4.3
CN1915700000000,19,157,"Poweshiek County, IA",2014,"10,440","9,992",448,4.3
CN1915900000000,19,159,"Ringgold County, IA",2014,"2,540","2,441",99,3.9
CN1916100000000,19,161,"Sac County, IA",2014,"5,574","5,354",220,3.9
CN1916300000000,19,163,"Scott County, IA",2014,"88,788","84,129","4,659",5.2
CN1916500000000,19,165,"Shelby County, IA",2014,"7,076","6,853",223,3.2
CN1916700000000,19,167,"Sioux County, IA",2014,"20,198","19,601",597,3
CN1916900000000,19,169,"Story County, IA",2014,"56,811","55,159","1,652",2.9
CN1917100000000,19,171,"Tama County, IA",2014,"9,270","8,778",492,5.3
CN1917300000000,19,173,"Taylor County, IA",2014,"3,253","3,133",120,3.7
CN1917500000000,19,175,"Union County, IA",2014,"6,838","6,514",324,4.7
CN1917700000000,19,177,"Van Buren County, IA",2014,"3,928","3,749",179,4.6
CN1917900000000,19,179,"Wapello County, IA",2014,"18,203","17,197","1,006",5.5
CN1918100000000,19,181,"Warren County, IA",2014,"26,860","25,789","1,071",4
CN1918300000000,19,183,"Washington County, IA",2014,"12,364","11,916",448,3.6
CN1918500000000,19,185,"Wayne County, IA",2014,"2,882","2,736",146,5.1
CN1918700000000,19,187,"Webster County, IA",2014,"19,894","18,925",969,4.9
CN1918900000000,19,189,"Winnebago County, IA",2014,"5,242","5,020",222,4.2
CN1919100000000,19,191,"Winneshiek County, IA",2014,"12,101","11,583",518,4.3
CN1919300000000,19,193,"Woodbury County, IA",2014,"56,143","53,665","2,478",4.4
CN1919500000000,19,195,"Worth County, IA",2014,"4,219","4,026",193,4.6
CN1919700000000,19,197,"Wright County, IA",2014,"6,974","6,687",287,4.1
CN2000100000000,20,1,"Allen County, KS",2014,"6,816","6,470",346,5.1
CN2000300000000,20,3,"Anderson County, KS",2014,"4,193","3,977",216,5.2
CN2000500000000,20,5,"Atchison County, KS",2014,"7,643","7,146",497,6.5
CN2000700000000,20,7,"Barber County, KS",2014,"2,719","2,636",83,3.1
CN2000900000000,20,9,"Barton County, KS",2014,"15,479","14,929",550,3.6
CN2001100000000,20,11,"Bourbon County, KS",2014,"7,104","6,730",374,5.3
CN2001300000000,20,13,"Brown County, KS",2014,"5,414","5,193",221,4.1
CN2001500000000,20,15,"Butler County, KS",2014,"31,992","30,433","1,559",4.9
CN2001700000000,20,17,"Chase County, KS",2014,"1,235","1,184",51,4.1
CN2001900000000,20,19,"Chautauqua County, KS",2014,"1,579","1,493",86,5.4
CN2002100000000,20,21,"Cherokee County, KS",2014,"10,365","9,843",522,5
CN2002300000000,20,23,"Cheyenne County, KS",2014,"1,316","1,275",41,3.1
CN2002500000000,20,25,"Clark County, KS",2014,"1,145","1,115",30,2.6
CN2002700000000,20,27,"Clay County, KS",2014,"4,176","3,991",185,4.4
CN2002900000000,20,29,"Cloud County, KS",2014,"4,396","4,211",185,4.2
CN2003100000000,20,31,"Coffey County, KS",2014,"4,901","4,622",279,5.7
CN2003300000000,20,33,"Comanche County, KS",2014,980,950,30,3.1
CN2003500000000,20,35,"Cowley County, KS",2014,"17,286","16,485",801,4.6
CN2003700000000,20,37,"Crawford County, KS",2014,"19,160","18,135","1,025",5.3
CN2003900000000,20,39,"Decatur County, KS",2014,"1,354","1,307",47,3.5
CN2004100000000,20,41,"Dickinson County, KS",2014,"9,734","9,241",493,5.1
CN2004300000000,20,43,"Doniphan County, KS",2014,"4,301","4,107",194,4.5
CN2004500000000,20,45,"Douglas County, KS",2014,"64,733","62,090","2,643",4.1
CN2004700000000,20,47,"Edwards County, KS",2014,"1,607","1,554",53,3.3
CN2004900000000,20,49,"Elk County, KS",2014,"1,310","1,243",67,5.1
CN2005100000000,20,51,"Ellis County, KS",2014,"17,931","17,438",493,2.7
CN2005300000000,20,53,"Ellsworth County, KS",2014,"3,450","3,348",102,3
CN2005500000000,20,55,"Finney County, KS",2014,"20,227","19,533",694,3.4
CN2005700000000,20,57,"Ford County, KS",2014,"18,202","17,510",692,3.8
CN2005900000000,20,59,"Franklin County, KS",2014,"14,070","13,351",719,5.1
CN2006100000000,20,61,"Geary County, KS",2014,"12,351","11,449",902,7.3
CN2006300000000,20,63,"Gove County, KS",2014,"1,485","1,446",39,2.6
CN2006500000000,20,65,"Graham County, KS",2014,"1,314","1,271",43,3.3
CN2006700000000,20,67,"Grant County, KS",2014,"3,942","3,808",134,3.4
CN2006900000000,20,69,"Gray County, KS",2014,"3,500","3,406",94,2.7
CN2007100000000,20,71,"Greeley County, KS",2014,898,879,19,2.1
CN2007300000000,20,73,"Greenwood County, KS",2014,"3,332","3,182",150,4.5
CN2007500000000,20,75,"Hamilton County, KS",2014,"1,664","1,626",38,2.3
CN2007700000000,20,77,"Harper County, KS",2014,"2,985","2,874",111,3.7
CN2007900000000,20,79,"Harvey County, KS",2014,"17,136","16,407",729,4.3
CN2008100000000,20,81,"Haskell County, KS",2014,"2,359","2,298",61,2.6
CN2008300000000,20,83,"Hodgeman County, KS",2014,"1,036","1,001",35,3.4
CN2008500000000,20,85,"Jackson County, KS",2014,"7,398","7,092",306,4.1
CN2008700000000,20,87,"Jefferson County, KS",2014,"10,229","9,736",493,4.8
CN2008900000000,20,89,"Jewell County, KS",2014,"1,382","1,328",54,3.9
CN2009100000000,20,91,"Johnson County, KS",2014,"321,234","309,100","12,134",3.8
CN2009300000000,20,93,"Kearny County, KS",2014,"2,120","2,055",65,3.1
CN2009500000000,20,95,"Kingman County, KS",2014,"3,608","3,464",144,4
CN2009700000000,20,97,"Kiowa County, KS",2014,"1,351","1,307",44,3.3
CN2009900000000,20,99,"Labette County, KS",2014,"10,791","10,159",632,5.9
CN2010100000000,20,101,"Lane County, KS",2014,864,836,28,3.2
CN2010300000000,20,103,"Leavenworth County, KS",2014,"35,043","33,296","1,747",5
CN2010500000000,20,105,"Lincoln County, KS",2014,"1,774","1,701",73,4.1
CN2010700000000,20,107,"Linn County, KS",2014,"4,325","4,003",322,7.4
CN2010900000000,20,109,"Logan County, KS",2014,"1,736","1,697",39,2.2
CN2011100000000,20,111,"Lyon County, KS",2014,"16,536","15,690",846,5.1
CN2011300000000,20,113,"McPherson County, KS",2014,"16,848","16,302",546,3.2
CN2011500000000,20,115,"Marion County, KS",2014,"6,148","5,898",250,4.1
CN2011700000000,20,117,"Marshall County, KS",2014,"5,886","5,695",191,3.2
CN2011900000000,20,119,"Meade County, KS",2014,"2,383","2,320",63,2.6
CN2012100000000,20,121,"Miami County, KS",2014,"16,878","16,082",796,4.7
CN2012300000000,20,123,"Mitchell County, KS",2014,"3,840","3,715",125,3.3
CN2012500000000,20,125,"Montgomery County, KS",2014,"17,363","16,363","1,000",5.8
CN2012700000000,20,127,"Morris County, KS",2014,"3,101","2,964",137,4.4
CN2012900000000,20,129,"Morton County, KS",2014,"1,491","1,432",59,4
CN2013100000000,20,131,"Nemaha County, KS",2014,"5,855","5,688",167,2.9
CN2013300000000,20,133,"Neosho County, KS",2014,"6,402","5,920",482,7.5
CN2013500000000,20,135,"Ness County, KS",2014,"1,615","1,571",44,2.7
CN2013700000000,20,137,"Norton County, KS",2014,"3,042","2,970",72,2.4
CN2013900000000,20,139,"Osage County, KS",2014,"8,150","7,706",444,5.4
CN2014100000000,20,141,"Osborne County, KS",2014,"2,060","1,983",77,3.7
CN2014300000000,20,143,"Ottawa County, KS",2014,"3,245","3,112",133,4.1
CN2014500000000,20,145,"Pawnee County, KS",2014,"3,394","3,266",128,3.8
CN2014700000000,20,147,"Phillips County, KS",2014,"2,912","2,810",102,3.5
CN2014900000000,20,149,"Pottawatomie County, KS",2014,"12,046","11,576",470,3.9
CN2015100000000,20,151,"Pratt County, KS",2014,"5,508","5,329",179,3.2
CN2015300000000,20,153,"Rawlins County, KS",2014,"1,518","1,481",37,2.4
CN2015500000000,20,155,"Reno County, KS",2014,"31,230","29,855","1,375",4.4
CN2015700000000,20,157,"Republic County, KS",2014,"2,572","2,493",79,3.1
CN2015900000000,20,159,"Rice County, KS",2014,"5,454","5,262",192,3.5
CN2016100000000,20,161,"Riley County, KS",2014,"36,625","35,273","1,352",3.7
CN2016300000000,20,163,"Rooks County, KS",2014,"2,854","2,751",103,3.6
CN2016500000000,20,165,"Rush County, KS",2014,"1,810","1,746",64,3.5
CN2016700000000,20,167,"Russell County, KS",2014,"3,842","3,707",135,3.5
CN2016900000000,20,169,"Saline County, KS",2014,"30,727","29,432","1,295",4.2
CN2017100000000,20,171,"Scott County, KS",2014,"2,855","2,777",78,2.7
CN2017300000000,20,173,"Sedgwick County, KS",2014,"247,317","234,034","13,283",5.4
CN2017500000000,20,175,"Seward County, KS",2014,"11,171","10,780",391,3.5
CN2017700000000,20,177,"Shawnee County, KS",2014,"91,989","87,599","4,390",4.8
CN2017900000000,20,179,"Sheridan County, KS",2014,"1,460","1,422",38,2.6
CN2018100000000,20,181,"Sherman County, KS",2014,"3,095","2,996",99,3.2
CN2018300000000,20,183,"Smith County, KS",2014,"2,120","2,054",66,3.1
CN2018500000000,20,185,"Stafford County, KS",2014,"2,165","2,084",81,3.7
CN2018700000000,20,187,"Stanton County, KS",2014,"1,028",994,34,3.3
CN2018900000000,20,189,"Stevens County, KS",2014,"3,369","3,268",101,3
CN2019100000000,20,191,"Sumner County, KS",2014,"11,081","10,553",528,4.8
CN2019300000000,20,193,"Thomas County, KS",2014,"4,385","4,258",127,2.9
CN2019500000000,20,195,"Trego County, KS",2014,"1,490","1,444",46,3.1
CN2019700000000,20,197,"Wabaunsee County, KS",2014,"3,765","3,609",156,4.1
CN2019900000000,20,199,"Wallace County, KS",2014,878,855,23,2.6
CN2020100000000,20,201,"Washington County, KS",2014,"3,108","3,008",100,3.2
CN2020300000000,20,203,"Wichita County, KS",2014,"1,237","1,202",35,2.8
CN2020500000000,20,205,"Wilson County, KS",2014,"4,174","3,886",288,6.9
CN2020700000000,20,207,"Woodson County, KS",2014,"1,630","1,544",86,5.3
CN2020900000000,20,209,"Wyandotte County, KS",2014,"75,663","70,479","5,184",6.9
CN2100100000000,21,1,"Adair County, KY",2014,"7,226","6,603",623,8.6
CN2100300000000,21,3,"Allen County, KY",2014,"8,673","8,162",511,5.9
CN2100500000000,21,5,"Anderson County, KY",2014,"11,435","10,841",594,5.2
CN2100700000000,21,7,"Ballard County, KY",2014,"3,678","3,384",294,8
CN2100900000000,21,9,"Barren County, KY",2014,"18,730","17,556","1,174",6.3
CN2101100000000,21,11,"Bath County, KY",2014,"4,724","4,305",419,8.9
CN2101300000000,21,13,"Bell County, KY",2014,"9,315","8,377",938,10.1
CN2101500000000,21,15,"Boone County, KY",2014,"65,294","61,919","3,375",5.2
CN2101700000000,21,17,"Bourbon County, KY",2014,"9,653","9,111",542,5.6
CN2101900000000,21,19,"Boyd County, KY",2014,"19,087","17,650","1,437",7.5
CN2102100000000,21,21,"Boyle County, KY",2014,"12,300","11,448",852,6.9
CN2102300000000,21,23,"Bracken County, KY",2014,"3,800","3,501",299,7.9
CN2102500000000,21,25,"Breathitt County, KY",2014,"4,182","3,705",477,11.4
CN2102700000000,21,27,"Breckinridge County, KY",2014,"8,091","7,507",584,7.2
CN2102900000000,21,29,"Bullitt County, KY",2014,"39,240","36,968","2,272",5.8
CN2103100000000,21,31,"Butler County, KY",2014,"5,193","4,805",388,7.5
CN2103300000000,21,33,"Caldwell County, KY",2014,"5,454","5,099",355,6.5
CN2103500000000,21,35,"Calloway County, KY",2014,"18,724","17,647","1,077",5.8
CN2103700000000,21,37,"Campbell County, KY",2014,"47,912","45,434","2,478",5.2
CN2103900000000,21,39,"Carlisle County, KY",2014,"2,383","2,241",142,6
CN2104100000000,21,41,"Carroll County, KY",2014,"4,873","4,525",348,7.1
CN2104300000000,21,43,"Carter County, KY",2014,"10,489","9,365","1,124",10.7
CN2104500000000,21,45,"Casey County, KY",2014,"6,623","6,173",450,6.8
CN2104700000000,21,47,"Christian County, KY",2014,"25,441","23,509","1,932",7.6
CN2104900000000,21,49,"Clark County, KY",2014,"16,987","15,950","1,037",6.1
CN2105100000000,21,51,"Clay County, KY",2014,"5,557","4,936",621,11.2
CN2105300000000,21,53,"Clinton County, KY",2014,"4,006","3,646",360,9
CN2105500000000,21,55,"Crittenden County, KY",2014,"3,874","3,635",239,6.2
CN2105700000000,21,57,"Cumberland County, KY",2014,"2,951","2,728",223,7.6
CN2105900000000,21,59,"Daviess County, KY",2014,"45,964","43,364","2,600",5.7
CN2106100000000,21,61,"Edmonson County, KY",2014,"4,784","4,385",399,8.3
CN2106300000000,21,63,"Elliott County, KY",2014,"2,155","1,911",244,11.3
CN2106500000000,21,65,"Estill County, KY",2014,"5,411","5,004",407,7.5
CN2106700000000,21,67,"Fayette County, KY",2014,"167,123","159,127","7,996",4.8
CN2106900000000,21,69,"Fleming County, KY",2014,"6,374","5,882",492,7.7
CN2107100000000,21,71,"Floyd County, KY",2014,"12,410","11,137","1,273",10.3
CN2107300000000,21,73,"Franklin County, KY",2014,"24,378","23,088","1,290",5.3
CN2107500000000,21,75,"Fulton County, KY",2014,"2,229","2,044",185,8.3
CN2107700000000,21,77,"Gallatin County, KY",2014,"3,865","3,595",270,7
CN2107900000000,21,79,"Garrard County, KY",2014,"7,594","7,099",495,6.5
CN2108100000000,21,81,"Grant County, KY",2014,"11,212","10,479",733,6.5
CN2108300000000,21,83,"Graves County, KY",2014,"15,872","14,687","1,185",7.5
CN2108500000000,21,85,"Grayson County, KY",2014,"10,870","9,959",911,8.4
CN2108700000000,21,87,"Green County, KY",2014,"5,085","4,753",332,6.5
CN2108900000000,21,89,"Greenup County, KY",2014,"14,300","13,082","1,218",8.5
CN2109100000000,21,91,"Hancock County, KY",2014,"3,984","3,744",240,6
CN2109300000000,21,93,"Hardin County, KY",2014,"46,642","43,750","2,892",6.2
CN2109500000000,21,95,"Harlan County, KY",2014,"8,405","7,234","1,171",13.9
CN2109700000000,21,97,"Harrison County, KY",2014,"8,429","7,925",504,6
CN2109900000000,21,99,"Hart County, KY",2014,"7,824","7,330",494,6.3
CN2110100000000,21,101,"Henderson County, KY",2014,"21,663","20,349","1,314",6.1
CN2110300000000,21,103,"Henry County, KY",2014,"7,647","7,207",440,5.8
CN2110500000000,21,105,"Hickman County, KY",2014,"2,130","1,998",132,6.2
CN2110700000000,21,107,"Hopkins County, KY",2014,"20,432","19,115","1,317",6.4
CN2110900000000,21,109,"Jackson County, KY",2014,"4,585","4,060",525,11.5
CN2111100000000,21,111,"Jefferson County, KY",2014,"377,676","354,953","22,723",6
CN2111300000000,21,113,"Jessamine County, KY",2014,"24,928","23,622","1,306",5.2
CN2111500000000,21,115,"Johnson County, KY",2014,"8,057","7,316",741,9.2
CN2111700000000,21,117,"Kenton County, KY",2014,"83,185","78,580","4,605",5.5
CN2111900000000,21,119,"Knott County, KY",2014,"5,138","4,567",571,11.1
CN2112100000000,21,121,"Knox County, KY",2014,"10,126","9,121","1,005",9.9
CN2112300000000,21,123,"Larue County, KY",2014,"5,770","5,390",380,6.6
CN2112500000000,21,125,"Laurel County, KY",2014,"24,144","22,306","1,838",7.6
CN2112700000000,21,127,"Lawrence County, KY",2014,"5,279","4,774",505,9.6
CN2112900000000,21,129,"Lee County, KY",2014,"2,315","2,090",225,9.7
CN2113100000000,21,131,"Leslie County, KY",2014,"3,177","2,769",408,12.8
CN2113300000000,21,133,"Letcher County, KY",2014,"7,249","6,356",893,12.3
CN2113500000000,21,135,"Lewis County, KY",2014,"5,175","4,677",498,9.6
CN2113700000000,21,137,"Lincoln County, KY",2014,"9,335","8,511",824,8.8
CN2113900000000,21,139,"Livingston County, KY",2014,"3,762","3,453",309,8.2
CN2114100000000,21,141,"Logan County, KY",2014,"11,929","11,256",673,5.6
CN2114300000000,21,143,"Lyon County, KY",2014,"2,983","2,775",208,7
CN2114500000000,21,145,"McCracken County, KY",2014,"29,504","27,437","2,067",7
CN2114700000000,21,147,"McCreary County, KY",2014,"5,048","4,516",532,10.5
CN2114900000000,21,149,"McLean County, KY",2014,"4,319","4,044",275,6.4
CN2115100000000,21,151,"Madison County, KY",2014,"45,340","42,888","2,452",5.4
CN2115300000000,21,153,"Magoffin County, KY",2014,"3,727","3,207",520,14
CN2115500000000,21,155,"Marion County, KY",2014,"9,198","8,611",587,6.4
CN2115700000000,21,157,"Marshall County, KY",2014,"14,970","13,963","1,007",6.7
CN2115900000000,21,159,"Martin County, KY",2014,"3,439","3,126",313,9.1
CN2116100000000,21,161,"Mason County, KY",2014,"7,748","7,136",612,7.9
CN2116300000000,21,163,"Meade County, KY",2014,"12,130","11,275",855,7
CN2116500000000,21,165,"Menifee County, KY",2014,"2,358","2,127",231,9.8
CN2116700000000,21,167,"Mercer County, KY",2014,"9,906","9,295",611,6.2
CN2116900000000,21,169,"Metcalfe County, KY",2014,"4,134","3,883",251,6.1
CN2117100000000,21,171,"Monroe County, KY",2014,"4,604","4,350",254,5.5
CN2117300000000,21,173,"Montgomery County, KY",2014,"11,764","10,887",877,7.5
CN2117500000000,21,175,"Morgan County, KY",2014,"4,798","4,347",451,9.4
CN2117700000000,21,177,"Muhlenberg County, KY",2014,"12,377","11,431",946,7.6
CN2117900000000,21,179,"Nelson County, KY",2014,"21,320","20,019","1,301",6.1
CN2118100000000,21,181,"Nicholas County, KY",2014,"3,454","3,187",267,7.7
CN2118300000000,21,183,"Ohio County, KY",2014,"9,526","8,795",731,7.7
CN2118500000000,21,185,"Oldham County, KY",2014,"30,289","28,856","1,433",4.7
CN2118700000000,21,187,"Owen County, KY",2014,"5,529","5,252",277,5
CN2118900000000,21,189,"Owsley County, KY",2014,"1,179","1,056",123,10.4
CN2119100000000,21,191,"Pendleton County, KY",2014,"6,765","6,315",450,6.7
CN2119300000000,21,193,"Perry County, KY",2014,"9,544","8,561",983,10.3
CN2119500000000,21,195,"Pike County, KY",2014,"22,009","19,699","2,310",10.5
CN2119700000000,21,197,"Powell County, KY",2014,"4,974","4,553",421,8.5
CN2119900000000,21,199,"Pulaski County, KY",2014,"26,299","24,368","1,931",7.3
CN2120100000000,21,201,"Robertson County, KY",2014,810,747,63,7.8
CN2120300000000,21,203,"Rockcastle County, KY",2014,"6,891","6,371",520,7.5
CN2120500000000,21,205,"Rowan County, KY",2014,"10,561","9,826",735,7
CN2120700000000,21,207,"Russell County, KY",2014,"6,587","5,914",673,10.2
CN2120900000000,21,209,"Scott County, KY",2014,"26,505","25,214","1,291",4.9
CN2121100000000,21,211,"Shelby County, KY",2014,"22,514","21,402","1,112",4.9
CN2121300000000,21,213,"Simpson County, KY",2014,"8,496","7,995",501,5.9
CN2121500000000,21,215,"Spencer County, KY",2014,"9,164","8,680",484,5.3
CN2121700000000,21,217,"Taylor County, KY",2014,"11,284","10,414",870,7.7
CN2121900000000,21,219,"Todd County, KY",2014,"5,463","5,168",295,5.4
CN2122100000000,21,221,"Trigg County, KY",2014,"5,721","5,317",404,7.1
CN2122300000000,21,223,"Trimble County, KY",2014,"3,878","3,597",281,7.2
CN2122500000000,21,225,"Union County, KY",2014,"6,763","6,330",433,6.4
CN2122700000000,21,227,"Warren County, KY",2014,"59,412","56,114","3,298",5.6
CN2122900000000,21,229,"Washington County, KY",2014,"6,129","5,796",333,5.4
CN2123100000000,21,231,"Wayne County, KY",2014,"7,262","6,560",702,9.7
CN2123300000000,21,233,"Webster County, KY",2014,"6,292","5,950",342,5.4
CN2123500000000,21,235,"Whitley County, KY",2014,"13,413","12,244","1,169",8.7
CN2123700000000,21,237,"Wolfe County, KY",2014,"2,057","1,825",232,11.3
CN2123900000000,21,239,"Woodford County, KY",2014,"14,248","13,613",635,4.5
CN2200100000000,22,1,"Acadia Parish, LA",2014,"26,692","25,158","1,534",5.7
CN2200300000000,22,3,"Allen Parish, LA",2014,"8,909","8,269",640,7.2
CN2200500000000,22,5,"Ascension Parish, LA",2014,"59,757","56,579","3,178",5.3
CN2200700000000,22,7,"Assumption Parish, LA",2014,"10,075","9,301",774,7.7
CN2200900000000,22,9,"Avoyelles Parish, LA",2014,"16,149","14,983","1,166",7.2
CN2201100000000,22,11,"Beauregard Parish, LA",2014,"14,936","13,932","1,004",6.7
CN2201300000000,22,13,"Bienville Parish, LA",2014,"5,940","5,471",469,7.9
CN2201500000000,22,15,"Bossier Parish, LA",2014,"58,233","54,898","3,335",5.7
CN2201700000000,22,17,"Caddo Parish, LA",2014,"111,246","102,987","8,259",7.4
CN2201900000000,22,19,"Calcasieu Parish, LA",2014,"94,670","89,087","5,583",5.9
CN2202100000000,22,21,"Caldwell Parish, LA",2014,"4,077","3,760",317,7.8
CN2202300000000,22,23,"Cameron Parish, LA",2014,"3,447","3,277",170,4.9
CN2202500000000,22,25,"Catahoula Parish, LA",2014,"3,850","3,539",311,8.1
CN2202700000000,22,27,"Claiborne Parish, LA",2014,"6,359","5,886",473,7.4
CN2202900000000,22,29,"Concordia Parish, LA",2014,"7,767","7,099",668,8.6
CN2203100000000,22,31,"De Soto Parish, LA",2014,"11,141","10,236",905,8.1
CN2203300000000,22,33,"East Baton Rouge Parish, LA",2014,"232,384","219,040","13,344",5.7
CN2203500000000,22,35,"East Carroll Parish, LA",2014,"2,226","1,901",325,14.6
CN2203700000000,22,37,"East Feliciana Parish, LA",2014,"8,200","7,672",528,6.4
CN2203900000000,22,39,"Evangeline Parish, LA",2014,"13,146","12,260",886,6.7
CN2204100000000,22,41,"Franklin Parish, LA",2014,"7,605","6,888",717,9.4
CN2204300000000,22,43,"Grant Parish, LA",2014,"8,423","7,823",600,7.1
CN2204500000000,22,45,"Iberia Parish, LA",2014,"32,614","30,556","2,058",6.3
CN2204700000000,22,47,"Iberville Parish, LA",2014,"14,389","13,265","1,124",7.8
CN2204900000000,22,49,"Jackson Parish, LA",2014,"7,168","6,743",425,5.9
CN2205100000000,22,51,"Jefferson Parish, LA",2014,"218,398","205,329","13,069",6
CN2205300000000,22,53,"Jefferson Davis Parish, LA",2014,"13,590","12,793",797,5.9
CN2205500000000,22,55,"Lafayette Parish, LA",2014,"122,611","116,590","6,021",4.9
CN2205700000000,22,57,"Lafourche Parish, LA",2014,"48,554","46,228","2,326",4.8
CN2205900000000,22,59,"LaSalle Parish, LA",2014,"6,641","6,295",346,5.2
CN2206100000000,22,61,"Lincoln Parish, LA",2014,"19,709","18,148","1,561",7.9
CN2206300000000,22,63,"Livingston Parish, LA",2014,"66,671","63,011","3,660",5.5
CN2206500000000,22,65,"Madison Parish, LA",2014,"3,928","3,495",433,11
CN2206700000000,22,67,"Morehouse Parish, LA",2014,"11,179","9,925","1,254",11.2
CN2206900000000,22,69,"Natchitoches Parish, LA",2014,"16,309","14,994","1,315",8.1
CN2207100000000,22,71,"Orleans Parish, LA",2014,"179,310","166,891","12,419",6.9
CN2207300000000,22,73,"Ouachita Parish, LA",2014,"72,094","67,061","5,033",7
CN2207500000000,22,75,"Plaquemines Parish, LA",2014,"10,253","9,670",583,5.7
CN2207700000000,22,77,"Pointe Coupee Parish, LA",2014,"10,120","9,408",712,7
CN2207900000000,22,79,"Rapides Parish, LA",2014,"58,117","54,241","3,876",6.7
CN2208100000000,22,81,"Red River Parish, LA",2014,"3,996","3,708",288,7.2
CN2208300000000,22,83,"Richland Parish, LA",2014,"8,734","7,976",758,8.7
CN2208500000000,22,85,"Sabine Parish, LA",2014,"9,209","8,606",603,6.5
CN2208700000000,22,87,"St. Bernard Parish, LA",2014,"19,253","17,920","1,333",6.9
CN2208900000000,22,89,"St. Charles Parish, LA",2014,"25,521","23,970","1,551",6.1
CN2209100000000,22,91,"St. Helena Parish, LA",2014,"4,541","4,086",455,10
CN2209300000000,22,93,"St. James Parish, LA",2014,"9,783","8,942",841,8.6
CN2209500000000,22,95,"St. John the Baptist Parish, LA",2014,"20,411","18,782","1,629",8
CN2209700000000,22,97,"St. Landry Parish, LA",2014,"34,201","31,589","2,612",7.6
CN2209900000000,22,99,"St. Martin Parish, LA",2014,"24,707","23,289","1,418",5.7
CN2210100000000,22,101,"St. Mary Parish, LA",2014,"25,370","23,778","1,592",6.3
CN2210300000000,22,103,"St. Tammany Parish, LA",2014,"115,149","108,639","6,510",5.7
